APM,Interpreter,Logging,Data Structure,i18n,Setup,Logic,Microservices,Test,Search,UI,Parser,App,IssueNumber_dc,IssueText,IssueTitle
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,full window manag includ specif layout dock undock laptopsthi mention readm im creat issu sound like neat idea im assum would allow flexibl window arrang current quadrant snap etc,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,full window manag includ specif layout dock undock laptopsthi mention readm im creat issu sound like neat idea im assum would allow flexibl window arrang current quadrant snap etc,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,batteri tracker charg managerutil allow monitor batteri import abil control charg level batteri allow set threshold batteri charg discharg e g charg batteri stop charg drop avoid charg batteri prolong life current noth this,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,window auto align snap magnet window screen edgeswhen window move resiz edg auto align snap get x pixel exist window screen edg edit clarifi im talk snap capabl like old allsnap program noth layout window manag,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,window auto align snap magnet window screen edgeswhen window move resiz edg auto align snap get x pixel exist window screen edg edit clarifi im talk snap capabl like old allsnap program noth layout window manag,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,tab featureswith releas new command line system w think kind featur brainier anoth solut refer tidytab www nurgo softwar product tidytab,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,tab featureswith releas new command line system w think kind featur brainier anoth solut refer tidytab www nurgo softwar product tidytab,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,disabl sticki corner aero snapwhen move mous monitor get stuck sticki corner exampl want close window right monitor mous left monitor end inadvert close window left monitor mous get stuck close button problem describ detail superus question disabl sticki corner window workaround patricknelson win sticki mous,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,disabl sticki corner aero snapwhen move mous monitor get stuck sticki corner exampl want close window right monitor mous left monitor end inadvert close window left monitor mous get stuck close button problem describ detail superus question disabl sticki corner window workaround patricknelson win sticki mous,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,script api window managerjust idea guy creat customiz window manag id welcom way interact via script languag commandlin linux wm come commandlin util msg allow reorgan window via script,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,x clipboard select copi middl click past select copi middl click past,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14,x clipboard select copi middl click past select copi middl click past,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16,move program anoth virtual desktopon thing ive found lack ever sinc start use virtual desktop abil move window move anoth virtual desktop current move anoth desktop use shortcut ctrl win left right feel like shortcut along line ctrl win alt left right could use make current activ window move next desktop idea fit powertoy pleas tell doesnt,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,move program anoth virtual desktopon thing ive found lack ever sinc start use virtual desktop abil move window move anoth virtual desktop current move anoth desktop use shortcut ctrl win left right feel like shortcut along line ctrl win alt left right could use make current activ window move next desktop idea fit powertoy pleas tell doesnt,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,shortcut number virtual desktopsdesktop alreadi number would use sort indic current desktop number taskbar add shortcut jump desktop someth like winkey ctrl go desktop way to,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,shortcut number virtual desktopsdesktop alreadi number would use sort indic current desktop number taskbar add shortcut jump desktop someth like winkey ctrl go desktop way to,
