Network,DB,Interpreter,Logging,Data Structure,i18n,Setup,Microservices,Test,IO,UI,App,IssueNumber_dc,IssueText,IssueTitle
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,156,synchron overleafit possibl synchron refer sharelatex sharelatex sharelatex,Synchronization with Overleaf
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,156,synchron overleafit possibl synchron refer sharelatex sharelatex sharelatex,Synchronization with Overleaf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065,support worldcat fetcherat wikipedia enter bibliograph refer use cite add citat automat servic add url worldcat full detail public automat enter field field extrem conveni reason first worldcat giant databas high qualiti record larg base oclc librari congress second often easier search worldcat find public want especi rare book copi url extrem easi suggest featur code must alreadi avail wikimedia sourc ive seen worldcat zotero translat wikimedia mediawiki servic zotero translat blob master worldcat discoveri servic js worldcat could ad dropdown list bibliograph servic invok f mani thank consid dominik screenshot cloud githubusercont asset da da f e f ddadb png,Support Worldcat.org as fetcher
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1975,reus queri parserinstead pars search queri use custom grammar reus exist queri parser exampl lucen queri parser lucen apach core queryparsersyntax html querypars pars lucen apach core querypars apach lucen querypars classic queryparserbas htmlpars java lang string trigger issu issuecom descript lucen syntax http www solrtutori solr queri syntax html lucen apach core queryparsersyntax html lucen provid class let us modifi search syntax lucen apach core querypars index htmlorg apach lucen querypars flexibl core parser syntaxpars html use default lucen syntax lucen apach core querypars apach lucen querypars classic querypars html,Reuse query parser
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1975,reus queri parserinstead pars search queri use custom grammar reus exist queri parser exampl lucen queri parser lucen apach core queryparsersyntax html querypars pars lucen apach core querypars apach lucen querypars classic queryparserbas htmlpars java lang string trigger issu issuecom descript lucen syntax http www solrtutori solr queri syntax html lucen apach core queryparsersyntax html lucen provid class let us modifi search syntax lucen apach core querypars index htmlorg apach lucen querypars flexibl core parser syntaxpars html use default lucen syntax lucen apach core querypars apach lucen querypars classic querypars html,Reuse query parser
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2146,support citat style languag csl style lo oothi featur request discuss pull csl citationstyl support preview seem logic step support lo oo well,Support Citation Style Language (CSL) Styles in LO/OO
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2753,support biblatex date format parsingthi would followup pull discuss r siedlerchr provid complet biblatex support pars date would investig possibl date pattern standard implement test,Support all BibLaTeX date formats for parsing
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2753,support biblatex date format parsingthi would followup pull discuss r siedlerchr provid complet biblatex support pars date would investig possibl date pattern standard implement test,Support all BibLaTeX date formats for parsing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2961,enhanc backup restor dialog select user imag githubusercont e de png warn tell user exact consequ yes user want creat backup investig file manual answer question idea help user name backup file literatur bib sav exampl user look recov overwrit bib file bib sav delet select differ file size date number entri perhap suggest user run diff tool like diff meld user answer question give chanc cancel allow ignor question user want start work anoth file answer recov question now,Enhanced backup restore dialog
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2961,enhanc backup restor dialog select user imag githubusercont e de png warn tell user exact consequ yes user want creat backup investig file manual answer question idea help user name backup file literatur bib sav exampl user look recov overwrit bib file bib sav delet select differ file size date number entri perhap suggest user run diff tool like diff meld user answer question give chanc cancel allow ignor question user want start work anoth file answer recov question now,Enhanced backup restore dialog
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999,latex unicod pars journal macro ad harvardnot sure whether add exclus list latex unicod convert http discours ad harvard entri contain latex command lead blank field list view,Latex2Unicode should parse journal macros from ADS/Harvard
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2999,latex unicod pars journal macro ad harvardnot sure whether add exclus list latex unicod convert http discours ad harvard entri contain latex command lead blank field list view,Latex2Unicode should parse journal macros from ADS/Harvard
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3436,group longer select focus group filter deletedjabref dev snapshot fix groupsearchperform ca window amd java open larg databas sever explicit group use group filter find group choic select group mark blue remov filter e delet search term group filter field group origin select longer mark blue select instead anoth random group select mark blue group panel longer focus centr group origin select mark blue inconveni want filter certain group want check subgroup filter group current implement allow quick filter group way filter group display current exclud potenti subgroup filter group see subgroup either explicit filter e rememb name scroll actual group without filter appli would nice could rememb group filter mark blue keep group panel center group delet filter keyword,Group no longer selected and focused when groups filter is deleted
